"lang"
{ 
	"Language" "English" 
		"DOTA_Tooltip_ability_boss_zombie_acid_spit_Lore"                                                   "Poison from the Nether Reaches turns wounds into fatalities, and fatigue into death."
		"DOTA_Tooltip_ability_boss_zombie_acid_spit_max_damage"                                             "MAX DPS:"
		"DOTA_Tooltip_ability_boss_zombie_acid_spit_max_duration"                                           "MAX DPS DURATION:"
		"DOTA_Tooltip_ability_boss_zombie_acid_spit_min_damage"                                             "MIN DPS:"
		"DOTA_Tooltip_ability_boss_zombie_acid_spit_radius"                                                 "RADIUS:"
		"DOTA_Tooltip_boss_zombie_acid_interior"                                                            "Bileful Body"
		"DOTA_Tooltip_boss_zombie_acid_interior_armor_reduction"                                            "DEBUFF ARMOR REDUCTION:"
		"DOTA_Tooltip_boss_zombie_acid_interior_damage"                                                     "DEBUFF DPS:"
		"DOTA_Tooltip_boss_zombie_acid_interior_damage_explode"                                             "EXPLOSION DAMAGE:"
		"DOTA_Tooltip_boss_zombie_acid_interior_Description"                                                "The Bile Zombie explodes on death, leaving behind a pool of acid. Applies the pool debuff on attack lasting %dureation_attack% seconds."
		"DOTA_Tooltip_boss_zombie_acid_interior_duration"                                                   "POOL DURATION:"
		"DOTA_Tooltip_boss_zombie_acid_interior_radius"                                                     "POOL RADIUS:"

		"DOTA_Tooltip_ability_boss_zombie_berserk"                                                          "Berserk"
		"DOTA_Tooltip_ability_boss_zombie_berserk_base_attack_time"                                         "BASE ATTACK TIME:"
		"DOTA_Tooltip_ability_boss_zombie_berserk_bonus_movespeed"                                          "BONUS MOVE SPEED:"
		"DOTA_Tooltip_ability_boss_zombie_berserk_Description"                                              "Alchemist causes his Ogre to enter a chemically induced rage, reducing base attack cooldown and increasing movement speed and health regeneration.\n\nDISPEL TYPE: Basic Dispel"
		"DOTA_Tooltip_ability_boss_zombie_berserk_duration"                                                 "DURATION:"
		"DOTA_Tooltip_ability_boss_zombie_berserk_Lore"                                                     "The brew Razzil gave to the Ogre during their prison bust has become a useful potion in the midst of combat."
		"DOTA_Tooltip_ability_boss_zombie_berserk_Note0"                                                    "Has a %transformation_time% second transformation time, which can be used to dodge projectiles and stuns."
		
		"DOTA_Tooltip_ability_boss_zombie_decay"                                                            "Decay"
		"DOTA_Tooltip_ability_boss_zombie_decay_decay_damage"                                               "BASE DAMAGE:"
		"DOTA_Tooltip_ability_boss_zombie_decay_decay_duration"                                             "STEAL DURATION:"
		"DOTA_Tooltip_ability_boss_zombie_decay_Description"                                                "Zombie Lord steals strength from all enemy heroes in an area, dealing base damage as he claims the enemy's strength for himself. Deals %creep_damage_multiplier%x damage to creeps."
		"DOTA_Tooltip_ability_boss_zombie_decay_Lore"                                                       "The strength of the living is simply borrowed from the strength of the dead."
		"DOTA_Tooltip_ability_boss_zombie_decay_Note0"                                                      "The strength stolen stacks, but can't cause a hero to have strength below 1."
		"DOTA_Tooltip_ability_boss_zombie_decay_Note1"                                                      "The strength steal takes effect before the damage is dealt."
		"DOTA_Tooltip_ability_boss_zombie_decay_Note2"                                                      "Affects invisible units."
		"DOTA_Tooltip_ability_boss_zombie_decay_radius"                                                     "RADIUS:"
		"DOTA_Tooltip_ability_boss_zombie_decay_str_steal"                                                  "STRENGTH STEAL:"
		
		"DOTA_Tooltip_ability_boss_zombie_soul_rip"                                                         "Soul Rip"
		"DOTA_Tooltip_ability_boss_zombie_soul_rip_damage_per_unit"                                         "DAMAGE/HEAL PER UNIT:"
		"DOTA_Tooltip_ability_boss_zombie_soul_rip_Description"                                             "Zombie Lord rips health away from all nearby units and uses it to heal an ally, or damage an enemy. Soul Rip can also be used to heal Tombstone."
		"DOTA_Tooltip_ability_boss_zombie_soul_rip_Lore"                                                    "Even allies feel despair in Zombie Lord's presence."
		"DOTA_Tooltip_ability_boss_zombie_soul_rip_max_units"                                               "MAX UNITS:"
		"DOTA_Tooltip_ability_boss_zombie_soul_rip_Note1"                                                   "Does not rip from invisible units, invulnerable units, units in the fog of war, or spell immune enemies."
		"DOTA_Tooltip_ability_boss_zombie_soul_rip_Note2"                                                   "Does rip from spell immune allies, including zombies."
		"DOTA_Tooltip_ability_boss_zombie_soul_rip_radius"                                                  "RIP RADIUS:"
		
		"DOTA_Tooltip_ability_boss_zombie_tombstone"                                                        "Tombstone"
		"DOTA_Tooltip_ability_boss_zombie_tombstone_Description"                                            "Summons a tombstone behind Zombie Lord.  Zombies will frequently spawn next to every enemy unit in the area around the Tombstone, and attack them.  Zombies have the Deathlust ability, which causes their attacks to slow the target, and if the target reaches below a certain amount of health, increases the attack and movement speed of the zombie."
		"DOTA_Tooltip_ability_boss_zombie_tombstone_duration"                                               "TOMBSTONE DURATION:"
		"DOTA_Tooltip_ability_boss_zombie_tombstone_hits_to_destroy_tooltip"                                "ATTACKS TO DESTROY PER HERO:"
		"DOTA_Tooltip_ability_boss_zombie_tombstone_Lore"                                                   "Dirge calls on his fallen brothers to fight for the Dead God."
		"DOTA_Tooltip_ability_boss_zombie_tombstone_radius"                                                 "ZOMBIE SPAWN RADIUS:"
		"DOTA_Tooltip_ability_boss_zombie_tombstone_zombie_interval"                                        "ZOMBIE SPAWN INTERVAL:"
		
		// ROSHAN
		"DOTA_Tooltip_ability_creature_fire_breath"                                                         "Fire Breath"
		"DOTA_Tooltip_ability_creature_fire_breath_damage"                                                  "DAMAGE:"
		"DOTA_Tooltip_ability_creature_fire_breath_Description"                                             "The Direbeast expels gouts of fire that damages all enemies."
		"DOTA_Tooltip_ability_creature_fire_breath_projectile_count"                                        "PROJECTILE COUNT:"
		"DOTA_Tooltip_ability_creature_fire_breath_radius"                                                  "RADIUS:"
		"DOTA_Tooltip_ability_creature_fire_breath_rotation_angle"                                          "ROTATION ANGLE:"
		"DOTA_Tooltip_ability_creature_fire_breath_speed"                                                   "SPEED:"
	
		// OGRES
		"DOTA_Tooltip_ability_boss_ogre_destroyer_smash"													"Ogre Smash!"
		"DOTA_Tooltip_ability_boss_ogre_destroyer_smash_Description"										"Ogre slowly charges a big attack stunning for %hero_stun_duration% seconds and dealing to all units in front of him."
		"DOTA_Tooltip_ability_boss_ogre_destroyer_smash_radius"												"RADIUS:"
		"DOTA_Tooltip_ability_boss_ogre_destroyer_smash_damage"												"DAMAGE:"
		"DOTA_Tooltip_ability_boss_ogre_destroyer_smash_hero_stun_duration"									"STUN DURATION:"
		"DOTA_Tooltip_ability_boss_ogre_destroyer_smash_damage_pct"											"DAMAGE PERCENTAGE:"
		
		// Dragons
		"DOTA_Tooltip_ability_black_dragon_dragonhide_aura"                                                 "Dragonhide Aura"
		"DOTA_Tooltip_ability_black_dragon_dragonhide_aura_bonus_armor"                                     "BONUS ARMOR:"
		"DOTA_Tooltip_ability_black_dragon_dragonhide_aura_Description"                                     "The Ancient Black Dragon's dreaded presence grants nearby allies additional armor. This bonus can stack with itself."
		"DOTA_Tooltip_ability_black_dragon_dragonhide_aura_radius"                                          "AURA RADIUS:"

		"DOTA_Tooltip_ability_black_dragon_fireball"                                                        "Fireball"
		"DOTA_Tooltip_ability_black_dragon_fireball_burn_interval"                                          "BURN INTERVAL:"
		"DOTA_Tooltip_ability_black_dragon_fireball_damage"                                                 "DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_black_dragon_fireball_Description"                                            "Hurls a fire blast on the ground, igniting the area in a %radius% radius for %duration% seconds. Enemies caught in the fire will take %damage% damage per second."
		"DOTA_Tooltip_ability_black_dragon_fireball_duration"                                               "DURATION:"
		"DOTA_Tooltip_ability_black_dragon_fireball_radius"                                                 "RADIUS:"

		"DOTA_Tooltip_ability_black_dragon_splash_attack"                                                   "Splash Attack"
		"DOTA_Tooltip_ability_black_dragon_splash_attack_damage_percent"                                    "%DAMAGE:"
		"DOTA_Tooltip_ability_black_dragon_splash_attack_Description"                                       "The Black Dragon's explosive attacks are felt by all nearby enemies."
		"DOTA_Tooltip_ability_black_dragon_splash_attack_range"                                             "RANGE:"

		"DOTA_Tooltip_ability_black_drake_magic_amplification_aura"                                         "Magic Amplification Aura"
		"DOTA_Tooltip_ability_black_drake_magic_amplification_aura_Description"                             "The Black Drakes' gaze make enemies more susceptible to Spell Damage."
		"DOTA_Tooltip_ability_black_drake_magic_amplification_aura_radius"                                  "RADIUS:"
		"DOTA_Tooltip_ability_black_drake_magic_amplification_aura_spell_amp"                               "%INCREASED SPELL DAMAGE RECEIVED:"
		
		// Generic
		"DOTA_Tooltip_modifier_neutrals_ancestors_rage"                                                     "Ancestor's Vengeance"
		"DOTA_Tooltip_modifier_neutrals_ancestors_rage_Description"                                         "This neutral is imbued with ancestral vigor, taking %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% less damage and dealing %dMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%% more damage from all sources. Start a new round to remove this buff."

		// HERO ABILITIES ======================================================================================================
		// Abaddon
		"DOTA_Tooltip_ability_abaddon_death_coil_Description"												"Abaddon releases a coil of deathly mist that can damage an enemy unit or heal a friendly unit at the cost of some of Abaddon's health.\nAbaddon loses health equal to %self_damage%%% of the damage dealt by the ability, but takes %self_damage_ult%%% during Borrowed Time.\nThe damage dealt cannot be lethal to Abaddon and is not increased by spell amplification."
		"DOTA_Tooltip_ability_abaddon_death_coil_target_damage"												"DAMAGE:"
		"DOTA_Tooltip_ability_abaddon_death_coil_heal_amount"												"HEAL:"
		"DOTA_Tooltip_ability_abaddon_death_coil_self_damage"												""
		
		"DOTA_Tooltip_ability_abaddon_aphotic_shield_Description"											"Summons dark energies around an ally unit, creating an all damage barrier that absorbs a set amount of damage before expiring.\nWhen the barrier is destroyed it will burst and deal damage equal to %absorbed_to_damage%%% of the amount it absorbed to an area around it. This damage is not amplified by Spell Amplification. Removes certain types of negative buffs and stuns on cast.\nDISPEL TYPE: Strong Dispel"
		"DOTA_Tooltip_ability_abaddon_aphotic_shield_Note0"													"The damage dealt is equal to the amount of missing barrier when it gets refreshed or destroyed."
		"DOTA_Tooltip_modifier_abaddon_aphotic_shield_buff"													"Aphotic Shield - Barrier"
		"DOTA_Tooltip_modifier_abaddon_aphotic_shield_buff_Description"										"Blocking damage taken."
		"DOTA_Tooltip_ability_abaddon_aphotic_shield_facet_abaddon_mephitic_shroud"							"Damage barrier amount and duration increased, but cooldown increased."
		
		"DOTA_Tooltip_ability_abaddon_frostmourne_Description"												"Abaddon strikes an enemy, slowing the target's movement speed.\nIf the target gets hit %hit_count% times, they become affected by a chilling curse causing them to be unable to heal, have their movement speed slowed and their cooldown rate reduced.\nLastly, all attacks against them gain an attack speed boost."
		"DOTA_Tooltip_ability_abaddon_frostmourne_shard_description" 										"Abaddon's abilities apply Curse of Avernus. Upon getting Cursed, you apply one instant attack to the unit."
		"DOTA_Tooltip_modifier_abaddon_curse_debuff"														"Curse of Avernus - Slow"
		"DOTA_Tooltip_modifier_abaddon_curse_debuff_Description"											"Initially slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Healing disabled and stronger slow after getting attacked multiple times."
		"DOTA_Tooltip_modifier_abaddon_curse_curse"															"Curse of Avernus - Curse"
		"DOTA_Tooltip_modifier_abaddon_curse_curse_Description"												"Movement speed and cooldown rates reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Healing is disabled."
		"DOTA_Tooltip_modifier_abaddon_curse_buff"															"Curse of Avernus - Buff"
		"DOTA_Tooltip_modifier_abaddon_curse_buff_Description"												"Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		
		"DOTA_Tooltip_ability_abaddon_borrowed_time_Description"								 			"When activated, you immolate your life force, causing you and all enemies within %immolate_aoe% units of you will take damage.\nAdditionally, all damage dealt to you will heal instead of harm. Most negative buffs will also be removed.\n\nIf the ability is not on cooldown, it will automatically activate if your health falls below %hp_threshold%%% of your maximum.\n\nCOOLDOWN TYPE: When Buff Expires\nDISPEL TYPE: Strong Dispel"
		"DOTA_Tooltip_ability_abaddon_borrowed_time_scepter_description"									"Increases duration. While Borrowed Time is active, anytime an ally takes a total of more than %ally_threshold_scepter%%% of their maximum health as damage while within %redirect_range_scepter% range of Abaddon, an individual Mist Coil will automatically fire towards that ally."
		"DOTA_Tooltip_ability_abaddon_borrowed_time_immolate_damage"										"IMMOLATION DPS:"
		"DOTA_Tooltip_ability_abaddon_borrowed_time_hp_threshold"											""
		"DOTA_Tooltip_ability_abaddon_borrowed_time_ebf_changes"											"Borrowed Time always deals damage to Abaddon and nearby enemies"
		"DOTA_Tooltip_modifier_abaddon_borrowed_time_active"												"Borrowed Time"
		"DOTA_Tooltip_modifier_abaddon_borrowed_time_active_Description"									"Immortal."
		
		//Alchemist

		"DOTA_Tooltip_Facet_alchemist_chrysopoeia"															"Opus of Chrysopoeia"
		"DOTA_Tooltip_Facet_alchemist_chrysopoeia_Description"												"Alchemist's magnus opus is of eternity, becoming a durable disabler."
		"DOTA_Tooltip_Facet_alchemist_panacea"																"Opus of Panacea"
		"DOTA_Tooltip_Facet_alchemist_panacea_Description"													"Alchemist's magnus opus is of immortality, becoming a sustaining caster."
		"DOTA_Tooltip_Facet_alchemist_azoth"																"Opus of Azoth"
		"DOTA_Tooltip_Facet_alchemist_azoth_Description"													"Alchemist's magnus opus is of dissolution, becoming a ferocious attacker."

		"DOTA_Tooltip_ability_alchemist_greevils_greed"														"Greevil's Greed"
		"DOTA_Tooltip_ability_alchemist_greevils_greed_Description"											"Alchemist synthesizes additional gold. Every time he gains gold from any source, he gets bonus gold."
		"DOTA_Tooltip_ability_alchemist_greevils_greed_bonus_gold"                                   		"%BONUS GOLD:"
		"DOTA_Tooltip_ability_alchemist_greevils_greed_Facet_alchemist_chrysopoeia"							"Greevil's Greed bonus gold increased and has a global aura that provides allies bonus gold."
		"DOTA_Tooltip_ability_alchemist_greevils_greed_allied_bonus_gold"									"%ALLIED BONUS GOLD:"
		"DOTA_Tooltip_ability_alchemist_greevils_greed_Facet_alchemist_panacea"								"Provides spell amplification and additional healing provided for every %gold_threshold% gold owned."
		"DOTA_Tooltip_ability_alchemist_greevils_greed_spell_amplification"									"%SPELL AMPLIFICATION:"
		"DOTA_Tooltip_ability_alchemist_greevils_greed_healing_provided"									"%HEAL AMPLIFICATION:"
		"DOTA_Tooltip_ability_alchemist_greevils_greed_Facet_alchemist_azoth"								"Provides spell amplification and additional healing provided for every %gold_threshold% gold owned."
		"DOTA_Tooltip_ability_alchemist_greevils_greed_bonus_damage"										"%BONUS DAMAGE:"
		"DOTA_Tooltip_ability_alchemist_greevils_greed_attack_speed"										"ATTACK SPEED:"
		"DOTA_Tooltip_modifier_alchemist_greevils_greed_passive"											"Greevil's Greed"
		"DOTA_Tooltip_modifier_alchemist_greevils_greed_passive_Description"								"Receiving an additional %dMODIFIER_PROPERTY_TOOLTIP%%% gold from all sources."
		"DOTA_Tooltip_modifier_alchemist_greevils_greed_chrysopoeia"										"Greevil's Greed - Chrysopoeia"
		"DOTA_Tooltip_modifier_alchemist_greevils_greed_chrysopoeia_Description"							"Receiving an additional %dMODIFIER_PROPERTY_TOOLTIP%%% gold from all sources."

		"DOTA_Tooltip_ability_alchemist_acid_spray_Facet_alchemist_chrysopoeia"								"Lasts until cast again. When cast again, the previous Acid Spray lingers."
		"DOTA_Tooltip_ability_alchemist_acid_spray_linger_duration"											"LINGER DURATION:"
		"DOTA_Tooltip_ability_alchemist_acid_spray_Facet_alchemist_panacea"									"Heals and gives armor to allies equal to damage and armor reduction values."
		"DOTA_Tooltip_ability_alchemist_acid_spray_Facet_alchemist_azoth"									"Increasingly slows enemies that stay in the radius."
		"DOTA_Tooltip_ability_alchemist_acid_spray_slow_per_second"											"%SLOW PER SECOND:"
		"DOTA_Tooltip_ability_alchemist_acid_spray_maximum_slow"											"%MAXIMUM SLOW:"
		"DOTA_Tooltip_modifier_alchemist_acid_spray_aura"													"Acid Spray"
		"DOTA_Tooltip_modifier_alchemist_acid_spray_aura_Description"										"Taking damage, losing armor."
		"DOTA_Tooltip_modifier_alchemist_acid_spray_panacea_aura"											"Acid Spray - Panacea"
		"DOTA_Tooltip_modifier_alchemist_acid_spray_panacea_aura_Description"								"Healing and gaining armor."

		"DOTA_Tooltip_ability_alchemist_unstable_concoction_Facet_alchemist_chrysopoeia"					"Hexes the primary target for %does_hex%%% of the stun duration."
		"DOTA_Tooltip_ability_alchemist_unstable_concoction_Facet_alchemist_panacea"						"Can no longer explode on Alchemist, instead fizzling harmlessly. Allies within the explosion radius gain temporary barrier."
		"DOTA_Tooltip_ability_alchemist_unstable_concoction_barrier"										"BARRIER:"
		"DOTA_Tooltip_ability_alchemist_unstable_concoction_barrier_duration"								"BARRIER DURATION:"
		"DOTA_Tooltip_ability_alchemist_unstable_concoction_Facet_alchemist_azoth"							"Has a decreased maximum charge time, and increased minimum stun duration and damage."
		"DOTA_Tooltip_ability_alchemist_unstable_concoction_min_stun"										"MIN STUN:"
		"DOTA_Tooltip_ability_alchemist_unstable_concoction_min_damage"										"MIN DAMAGE:"
		"DOTA_Tooltip_modifier_alchemist_unstable_concoction_panacea"										"Unstable Concoction - Panacea"
		"DOTA_Tooltip_modifier_alchemist_unstable_concoction_panacea_Description"							"Protected by an alchemical barrier."

		"DOTA_Tooltip_ability_alchemist_chemical_rage_Facet_alchemist_chrysopoeia"							"Provides bonus armor and health, increases outgoing debuff durations and areas of effect."
		"DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_armor"											"BONUS ARMOR:"
		"DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_health"											"BONUS HEALTH:"
		"DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_debuff_amp"										"%BONUS DEBUFF DURATION:"
		"DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_aoe"											"BONUS AOE:"
		"DOTA_Tooltip_ability_alchemist_chemical_rage_Facet_alchemist_panacea"								"Refreshes Unstable Concoction and Berserk Potion on cast, and improves them while Chemical Rage is active."
		"DOTA_Tooltip_ability_alchemist_chemical_rage_cooldown_reduction"									"%POTION COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_unstable_damage_tooltip"						"%POTION BONUS DAMAGE/HEAL:"
		"DOTA_Tooltip_ability_alchemist_chemical_rage_Facet_alchemist_azoth"								"Alchemist cannot be silenced during Chemical Rage and gains bonus damage based on base damage every second."
		"DOTA_Tooltip_ability_alchemist_chemical_rage_bonus_damage_per_second"								"%BONUS DAMAGE PER SECOND:"
		"DOTA_Tooltip_modifier_alchemist_chemical_rage_ebf"													"Chemical Rage"
		"DOTA_Tooltip_modifier_alchemist_chemical_rage_ebf_Description"										"Gaining %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% health regen, %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%%% bonus movement speed, %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor, %dMODIFIER_PROPERTY_HEALTH_BONUS% health, and %dMODIFIER_PROPERTY_BASEDAMAGEOUTGOING_PERCENTAGE%%% bonus damage."

		"DOTA_Tooltip_ability_alchemist_midas_touch"														"Midas Touch"
		"DOTA_Tooltip_ability_alchemist_midas_touch_Description"											"Alchemist has a chance on hit to briefly transmute his enemies to gold, stunning and causing them to take additional damage from all sources.<br>COOLDOWN TYPE: When Debff Expires."
		"DOTA_Tooltip_ability_alchemist_midas_touch_chance"													"%CHANCE:"
		"DOTA_Tooltip_ability_alchemist_midas_touch_duration"												"DURATION:"
		"DOTA_Tooltip_ability_alchemist_midas_touch_damage_increase"										"%DAMAGE AMPLIFICATION:"
		"DOTA_Tooltip_modifier_alchemist_midas_touch"														"Midas Touched"
		"DOTA_Tooltip_modifier_alchemist_midas_touch_Description"											"Stunned and taking %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% more damage from all sources."

		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_1"												"+{s:bonus_armor_reduction} Acid Spray Armor Reduction"
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_2"												"+{s:bonus_radius} Unstable Concoction Radius"
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_3"												"+{s:bonus_duration}s Acid Spray Duration"
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_3_Facet_alchemist_chrysopoeia"					"+{s:bonus_linger_duration}s Acid Spray Linger Duration"
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_4"												"+{s:bonus_bonus_gold}% Greevil's Greed Bonus Gold"
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_5"												"-{s:bonus_base_attack_time}s Chemical Rage Base Attack Time"
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_6"												"+{s:bonus_max_damage}% Unstable Concoction Damage"
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_7"												"+{s:bonus_bonus_movespeed} Chemical Rage Movement Speed"
		"DOTA_Tooltip_ability_special_bonus_unique_alchemist_8"												"+{s:bonus_bonus_health_regen} Chemical Rage Regeneration"

		//Dragon Knight

		"DOTA_Tooltip_Facet_dragon_knight_crimson_blood"													"Crimson Blood"
		"DOTA_Tooltip_Facet_dragon_knight_crimson_blood_Description"										"Dragon Knight's flaming ancestry destroys his enemies. Deal magic damage, and more of it."
		"DOTA_Tooltip_Facet_dragon_knight_caustic_blood"													"Caustic Blood"
		"DOTA_Tooltip_Facet_dragon_knight_caustic_blood_Description"										"Dragon Knight's acidic ancestry corrodes his enemies. Deal physical damage, and buff your team's damage."
		"DOTA_Tooltip_Facet_dragon_knight_cerulean_blood"													"Cerulean Blood"
		"DOTA_Tooltip_Facet_dragon_knight_cerulean_blood_Description"										"Dragon Knight's frozen ancestry chills his enemies. Disable them, and become tankier."

		"DOTA_Tooltip_ability_dragon_knight_inherited_vigor_Description"									"The life blood of the Dragon improves Dragon Knight's health regeneration and armor. Amount is multiplied when in Elder Dragon Form."
		"DOTA_Tooltip_ability_dragon_knight_inherited_vigor_Facet_dragon_knight_crimson_blood"				"Now provides spell amplification."
		"DOTA_Tooltip_ability_dragon_knight_inherited_vigor_spell_amp"										"%SPELL AMP:"
		"DOTA_Tooltip_ability_dragon_knight_inherited_vigor_Facet_dragon_knight_caustic_blood"				"Now provides outgoing debuff amplification."
		"DOTA_Tooltip_ability_dragon_knight_inherited_vigor_debuff_amp"										"%DEBUFF AMP:"
		"DOTA_Tooltip_ability_dragon_knight_inherited_vigor_Facet_dragon_knight_cerulean_blood"				"Now provides incoming healing amplification."
		"DOTA_Tooltip_ability_dragon_knight_inherited_vigor_healing_amp"									"%HEALING AMP:"

		"DOTA_Tooltip_ability_dragon_knight_breathe_fire_Description"										"Unleashes a breath of fire in front of Dragon Knight that burns enemies, and applies an elemental effect based on his ancestry."
		"DOTA_Tooltip_ability_dragon_knight_breathe_fire_duration"											"DURATION:"
		"DOTA_Tooltip_ability_dragon_knight_breathe_fire_Facet_dragon_knight_crimson_blood"					"Reduces the magic resistance of targets hit."
		"DOTA_Tooltip_ability_dragon_knight_breathe_fire_magic_resist_reduction"							"%MAGIC RESIST REDUCTION:"
		"DOTA_Tooltip_ability_dragon_knight_breathe_fire_Facet_dragon_knight_caustic_blood"					"Now deals physical damage, and additional damage over time to targets hit."
		"DOTA_Tooltip_ability_dragon_knight_breathe_fire_damage_per_second"									"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_dragon_knight_breathe_fire_Facet_dragon_knight_cerulean_blood"				"Increases the base attack time of targets hit."
		"DOTA_Tooltip_ability_dragon_knight_breathe_fire_base_attack_time_increase"							"%BASE ATTACK TIME INCREASE:"
		"DOTA_Tooltip_modifier_dragon_knight_breathe_fire_debuff"											"Breathe Fire - Debuff"
		"DOTA_Tooltip_modifier_dragon_knight_breathe_fire_debuff_Description"								"Reducing magic resistance (Crimson), dealing damage over time (Caustic), or increasing base attack time (Cerulean)."

		"DOTA_Tooltip_ability_dragon_knight_dragon_tail_Facet_dragon_knight_crimson_blood"					"Applies to enemies in a radius around the target."
		"DOTA_Tooltip_ability_dragon_knight_dragon_tail_radius"												"RADIUS:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_tail_Facet_dragon_knight_caustic_blood"					"Now deals physical damage, and increases allied attack speed against the target for a short time."
		"DOTA_Tooltip_ability_dragon_knight_dragon_tail_attack_speed"										"ATTACK SPEED:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_tail_caustic_duration_tooltip"							"DEBUFF DURATION:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_tail_Facet_dragon_knight_cerulean_blood"					"After the stun, decreases the target's attack damage for a short time."
		"DOTA_Tooltip_ability_dragon_knight_dragon_tail_attack_damage_reduction"							"%DAMAGE REDUCTION:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_tail_cerulean_duration_tooltip"							"DEBUFF DURATION:"
		"DOTA_Tooltip_modifier_dragon_knight_dragon_tail_stun"												"Dragon Tail - Stunned"
		"DOTA_Tooltip_modifier_dragon_knight_dragon_tail_stun_Description"									"Can't act."
		"DOTA_Tooltip_modifier_dragon_knight_dragon_tail_debuff"											"Dragon Tail - Debuff"
		"DOTA_Tooltip_modifier_dragon_knight_dragon_tail_debuff_Description"								"Providing attack speed to enemies that hit you (Caustic), or reducing your attack damage after the stun ends (Cerulean)."
		"DOTA_Tooltip_modifier_dragon_knight_dragon_tail_caustic_blood"										"Dragon Tail - Caustic Blood"
		"DOTA_Tooltip_modifier_dragon_knight_dragon_tail_caustic_blood_Description"							"Gaining %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% attack speed."

		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_elder_dragon_form_bonus"							"%DRAGON FORM BONUS:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_Facet_dragon_knight_crimson_blood"					"Attacks now deal bonus magic damage, and passively increases all areas of effect."
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_magic_attack_damage"								"MAGIC DAMAGE:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_bonus_radius"										"AOE BONUS:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_Facet_dragon_knight_caustic_blood"					"Attacks now deal bonus physical damage over time, and reduce armor."
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_poison_damage"										"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_poison_armor"										"ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_poison_duration"									"DURATION:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_Facet_dragon_knight_cerulean_blood"				"Attacks now slow movement and attack speed, and reduce incoming healing."
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_freeze_movement_slow"								"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_freeze_attack_slow"								"ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_freeze_heal_reduction"								"%HEALING REDUCTION:"
		"DOTA_Tooltip_ability_dragon_knight_dragon_blood_freeze_duration"									"DURATION:"
		"DOTA_Tooltip_modifier_dragon_knight_dragon_blood_debuff"											"Dragon Blood - Debuff"
		"DOTA_Tooltip_modifier_dragon_knight_dragon_blood_debuff_Description"								"Taking damage over time and losing armor (Caustic), or being slowed and reducing incoming healing (Cerulean)."

		"DOTA_Tooltip_ability_dragon_knight_fireball"														"Fireball"
		"DOTA_Tooltip_ability_dragon_knight_fireball_Description"											"Ignites an area, applying %damage_percent_tooltip%%% of Breathe Fire's damage per second, as well as its effects."
		"DOTA_Tooltip_ability_dragon_knight_fireball_radius"												"RADIUS:"
		"DOTA_Tooltip_ability_dragon_knight_fireball_damage"												"DAMAGE PER SECOND:"
